issue_key,created
PTL-2428,2022-12-07
PTL-2431,2022-12-07
PTL-2432,2022-10-21
PTL-2435,2022-09-12
PTL-2436,2022-12-02
PTL-2439,2022-10-03
PTL-2442,2022-12-06
PTL-2445,2022-06-17
PTL-2447,2022-08-01
PTL-2452,2022-11-24
PTL-2457,2022-11-18
PTL-2459,2022-06-03
PTL-2460,2022-10-03
PTL-2463,2022-11-11
PTL-2466,2022-09-02
PTL-2467,2022-12-07
PTL-2471,2022-07-29
PTL-2472,2022-08-11
PTL-2474,2022-10-03
PTL-2475,2022-09-06
PTL-2483,2022-10-03
PTL-2488,2022-09-29
PTL-2489,2022-05-24
PTL-2495,2022-09-06
PTL-2496,2022-08-31
PTL-2505,2022-09-23
PTL-2508,2022-07-11
PTL-2514,2022-12-06
PTL-2517,2022-12-07
PTL-2519,2022-10-03
PTL-2520,2022-05-20
PTL-2521,2022-04-04
PTL-2523,2022-10-03
PTL-2527,2022-10-21
PTL-2529,2022-06-27
PTL-2531,2022-10-04
PTL-2532,2022-12-16
PTL-2534,2022-10-03
PTL-2537,2022-10-03
PTL-2545,2022-06-23
PTL-2550,2022-07-25
PTL-2551,2022-05-26
PTL-2552,2022-10-03
PTL-2555,2022-02-21
PTL-2556,2022-12-06
PTL-2557,2022-12-06
PTL-2560,2022-08-04
PTL-2563,2022-10-03
PTL-2565,2022-09-06
PTL-2571,2022-10-03
PTL-2573,2022-06-07
PTL-2577,2022-06-08
PTL-2583,2022-09-02
PTL-2586,2022-08-17
PTL-2590,2022-08-31
PTL-2593,2022-09-09
PTL-2597,2022-09-02
PTL-2603,2022-10-28
PTL-2606,2022-12-06
PTL-2608,2022-12-05
PTL-2610,2022-12-06
PTL-2612,2022-10-03
PTL-2616,2022-09-22
PTL-2621,2022-08-16
PTL-2622,2022-09-06
PTL-2633,2022-09-08
PTL-2634,2022-06-24
PTL-2635,2022-10-03
PTL-2638,2022-10-03
PTL-2640,2022-06-27
PTL-2641,2022-09-19
PTL-2644,2022-10-03
PTL-2645,2022-09-23
PTL-2647,2022-12-06
PTL-2650,2022-10-03
PTL-2651,2022-08-04
PTL-2661,2022-12-07
PTL-2674,2022-07-26
PTL-2677,2022-10-03
PTL-2681,2022-12-06
PTL-2683,2022-07-18
PTL-2684,2022-11-22
PTL-2685,2022-10-03
PTL-2687,2022-06-17
PTL-2689,2022-12-06
PTL-2690,2022-09-15
PTL-2691,2022-10-03
PTL-2695,2022-12-06
PTL-2697,2022-12-05
PTL-2700,2022-12-09
PTL-2703,2022-10-03
PTL-2712,2022-12-07
PTL-2713,2022-09-30
PTL-2717,2022-07-28
PTL-2718,2022-09-26
PTL-2720,2022-06-10
PTL-2721,2022-06-10
PTL-2725,2022-10-03
PTL-2730,2022-12-06
PTL-2734,2022-10-03
PTL-2735,2022-07-26
PTL-2739,2022-11-17
PTL-2745,2022-12-06
PTL-2747,2022-09-08
PTL-2752,2022-12-07
PTL-2753,2022-10-03
PTL-2759,2022-12-07
PTL-2763,2022-12-06
PTL-2764,2022-10-03
PTL-2771,2022-12-23
PTL-2773,2022-09-06
PTL-2774,2022-12-07
PTL-2777,2022-09-06
PTL-3174,2022-08-23
PTL-3181,2022-07-21
PTL-3185,2022-07-15
PTL-3186,2022-12-07
PTL-3194,2022-07-18
PTL-3198,2022-10-08
PTL-3215,2022-04-27
PTL-3241,2022-08-15
PTL-3242,2022-10-27
PTL-3251,2022-07-15
PTL-3253,2022-03-17
PTL-3257,2022-05-09
PTL-3261,2022-07-11
PTL-3270,2022-07-21
PTL-3271,2022-07-15
PTL-3278,2022-03-04
PTL-3292,2022-06-27
PTL-3296,2022-07-05
PTL-3301,2022-07-15
PTL-3304,2022-10-11
PTL-3306,2022-01-21
PTL-3312,2022-05-09
PTL-3313,2022-02-17
PTL-3320,2022-09-28
PTL-3343,2022-04-27
PTL-3349,2022-01-27
PTL-3354,2022-06-09
PTL-3356,2022-07-21
PTL-3361,2022-10-27
PTL-3363,2022-01-31
PTL-3370,2022-05-06
PTL-3373,2022-08-26
PTL-3375,2022-10-04
PTL-3385,2022-12-15
PTL-3388,2022-03-29
PTL-3405,2022-09-29
PTL-3427,2022-05-31
PTL-3446,2022-02-11
PTL-3449,2022-07-06
PTL-3452,2022-10-24
PTL-3457,2022-10-04
PTL-3475,2022-10-07
PTL-3476,2022-01-27
PTL-3483,2022-12-13
PTL-3484,2022-05-13
PTL-3486,2022-02-11
PTL-3491,2022-10-24
PTL-3495,2022-08-18
PTL-3504,2022-05-09
PTL-3508,2022-06-02
PTL-3522,2022-04-13
PTL-3524,2022-10-24
PTL-3907,2022-11-18
PTL-4034,2022-09-26
PTL-4039,2022-01-26
PTL-4042,2022-11-18
PTL-4066,2022-01-26
PTL-4082,2022-12-23
PTL-4287,2022-11-11
PTL-4357,2022-02-15
PTL-4367,2022-05-27
PTL-4403,2022-04-20
PTL-4438,2022-02-06
PTL-4465,2022-01-06
PTL-4499,2022-11-10
PTL-4555,2022-09-22
PTL-4602,2022-03-03
PTL-4632,2022-05-18
